Scientific,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,Scientific2,genus,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,longevity_y,adult_svl_cm,offspring.peryear
Chaetodipus eremicus,20,0,0,0,0,0,0,0,70,10,1,0,0,20.31,Chaetodipus eremicus,Chaetodipus,Chihuahuan Pocket Mouse,3.645,NA,15.57,4.408333333,25.78312,4.408333333,7.736,NA
Chaetodipus hispidus,10,0,0,0,0,0,0,0,80,10,1,0,0,32,Chaetodipus hispidus,Chaetodipus,Hispid Pocket Mouse,5.12,1.875,35.7,3.991666667,NA,3.991666667,10.451,9.6
Chaetodipus intermedius,10,0,0,0,0,0,0,0,80,10,1,0,0,16.5,Chaetodipus intermedius,Chaetodipus,Rock Pocket Mouse,5.015,NA,15.45,6.65,NA,6.65,NA,NA
Chaetodipus penicillatus,10,0,0,0,0,0,0,0,80,10,1,0,0,16.89,Chaetodipus penicillatus,Chaetodipus,Desert Pocket Mouse,3.545,NA,15.57,4.408333333,25.78312,4.408333333,7.736,NA
Condylura cristata,80,0,0,20,0,0,0,0,0,0,1,1,1,84,Condylura cristata,Condylura,Star-nosed Mole,4.42,1,52.15,3,40,2.5,12.1325,4.42
Cryptotis parva,40,0,30,0,0,30,0,0,0,0,1,0,0,4.98,Cryptotis parva,Cryptotis,North American Least Shrew,4.55,2.5,6.2,3.5,21,2.166666667,7.2995,11.375
Dicrostonyx groenlandicus,0,0,0,0,0,0,20,0,0,80,1,0,0,54.4,Dicrostonyx groenlandicus,Dicrostonyx,Nearctic Collared Lemming,3.4,2.5,58.44,3.3,20.84,3.3,13.716,8.5
Dipodomys heermanni,20,0,0,0,0,0,20,0,30,30,1,0,0,72,Dipodomys heermanni,Dipodomys,Heermann's Kangaroo Rat,3.11,2,64.15,8.3,31,8.233333333,15.5625,6.22
Dipodomys merriami,20,0,0,0,0,0,20,0,30,30,1,0,0,42,Dipodomys merriami,Dipodomys,Merriam's Kangaroo Rat,2.3,1.63,37.805,9.7,27.8490625,9.65,14.927,3.7489999999999997
Dipodomys microps,20,0,0,0,0,0,20,0,30,30,1,0,0,54.6,Dipodomys microps,Dipodomys,Chisel-toothed Kangaroo Rat,2.385,1,55.16,3.658333333,31.32172,3.658333333,15.6235,2.385
Dipodomys ordii,20,0,0,0,0,0,20,0,30,30,1,0,0,60.4,Dipodomys ordii,Dipodomys,Ord's Kangaroo Rat,3.15,2,49.6,9.9,29.91082,9.816666667,15.696,6.3
Dipodomys spectabilis,20,0,0,0,0,0,20,0,30,30,1,0,0,135.88,Dipodomys spectabilis,Dipodomys,Banner-tailed Kangaroo Rat,2.65,2,124.61,12.7,23.5,12.64166667,17.057,5.3
Glaucomys sabrinus,0,0,0,0,0,0,30,0,40,30,1,0,0,166,Glaucomys sabrinus,Glaucomys,Northern Flying Squirrel,3,1,148,14.2,40,13,26.8,3
Glaucomys volans,0,0,0,0,0,0,30,0,40,30,1,0,0,63.87,Glaucomys volans,Glaucomys,Southern Flying Squirrel,3.13,1.665,65.4,19,40,14.16666667,17.149,5.21145
Spermophilus tridecemlineatus,20,0,0,0,0,0,0,0,40,40,0,0,1,131.67,Ictidomys tridecemlineatus,Spermophilus,Thirteen-lined Ground Squirrel,8.09,1.185,182,7.9,27.75,7.9,27.175,9.58665
Lemmiscus curtatus,0,0,0,0,0,0,0,0,0,100,1,1,0,28.27,Lemmiscus curtatus,Lemmiscus,Sagebrush Vole,5.61,3,28.27,NA,25.05876,NA,11.4,16.830000000000002
Lemmus trimucronatus,0,0,0,0,0,0,10,0,0,90,1,1,1,69.82,Lemmus trimucronatus,Lemmus,Nearctic Brown Lemming,6.39,3.25,60.8,1.666666667,20.77,1.666666667,13.5,20.7675
Microtus californicus,0,0,0,0,0,0,0,0,20,80,1,1,1,57.42,Microtus californicus,Microtus,California Vole,4.62,4.915,53.5,2.083333333,21.18,2.083333333,14.09,22.7073
Microtus longicaudus,0,0,0,0,0,0,0,0,20,80,1,1,1,46.71,Microtus longicaudus,Microtus,Long-tailed Vole,4.975,1.9,32.5,1.166666667,NA,1.166666667,13.5,9.452499999999999
Microtus miurus,0,0,0,0,0,0,0,0,20,80,1,1,1,41,Microtus miurus,Microtus,Singing Vole,5.96,4.67,40.25,2.141666667,21,2.141666667,12.318,27.833199999999998
Microtus montanus,0,0,0,0,0,0,0,0,20,80,1,1,1,36.33,Microtus montanus,Microtus,Montane Vole,5.18,4.63,35.1,NA,21.2176,NA,13.2085,23.9834
Microtus ochrogaster,0,0,0,0,0,0,0,0,20,80,1,1,1,38.01,Microtus ochrogaster,Microtus,Prairie Vole,3.8,4,46.7,5.325,22.52264,5.3,12.4435,15.2
Microtus oregoni,0,0,0,0,0,0,0,0,20,80,1,1,1,20.35,Microtus oregoni,Microtus,Creeping Vole,3.3,4.6,20.425,1.25,23.78504,0.666666667,10.561,15.179999999999998
Microtus pennsylvanicus,0,0,0,0,0,0,0,0,20,80,1,1,1,36.75,Microtus pennsylvanicus,Microtus,Meadow Vole,5.06,2.64,38.55,2.908333333,21.2726,1.333333333,12.2465,13.3584
Microtus pinetorum,0,0,0,0,0,0,0,0,20,80,1,1,1,26.28,Microtus pinetorum,Microtus,Woodland Vole,2.89,2.7,25.5,3.825,22.827,3.3,10.3025,7.803000000000001
Microtus xanthognathus,0,0,0,0,0,0,0,0,20,80,1,1,1,125.75,Microtus xanthognathus,Microtus,Taiga Vole,8.175,2,92.65,NA,NA,NA,16.718,16.35
Mus musculus,20,0,0,0,0,0,0,0,20,60,1,0,0,16.25,Mus musculus,Mus,House Mouse,6.07,4.57,20.5,6,19.6,5,9.5,27.739900000000002
Mustela erminea,10,70,10,0,10,0,0,0,0,0,1,0,0,119.38,Mustela erminea,Mustela,Ermine,6.755,1,110.33,12.5,43.26174,11.14166667,27.0325,6.755
Mustela frenata,0,100,0,0,0,0,0,0,0,0,1,1,1,147,Mustela frenata,Mustela,Long-tailed Weasel,6.22,1,170.315,8.8,24.95752,7.4,24.7655,6.22
Mustela nivalis,0,100,0,0,0,0,0,0,0,0,1,0,0,103.88,Mustela nivalis,Mustela,Least Weasel,5.085,1.5,49.75,10,36.49,9.55,26,7.6274999999999995
Myodes gapperi,20,0,0,0,0,0,0,0,30,50,1,1,1,19.83,Myodes gapperi,Myodes,Southern Red-backed Vole,5.205,2.555,22.8,2.408333333,17.97862,2.0375,10.9565,13.298775000000001
Myodes rutilus,20,0,0,0,0,0,0,0,30,50,1,1,1,19.94,Myodes rutilus,Myodes,Northern Red-backed Vole,6.3,4,25,NA,23.70786,NA,11.1535,25.2
Napaeozapus insignis,20,0,0,0,0,0,10,0,40,30,1,0,0,22.3,Napaeozapus insignis,Napaeozapus,Woodland Jumping Mouse,4.46,1.29,21.8,4,23.08286,4,9.4865,5.7534
Neotoma albigula,10,0,0,0,0,0,0,0,20,70,1,0,0,206.03,Neotoma albigula,Neotoma,White-throated Woodrat,2.14,2,190.5,9.5,36.21884,7.7,19.5735,4.28
Neotoma cinerea,10,0,0,0,0,0,0,0,20,70,1,0,0,299.15,Neotoma cinerea,Neotoma,Bushy-tailed Woodrat,3.565,1.75,285.89,5.825,29.75864,4.4125,22.698,6.23875
Neotoma devia,10,0,0,0,0,0,0,0,20,70,1,0,0,200,Neotoma devia,Neotoma,Arizona Woodrat,2.81,3,113.4,10.5,33.2398,10.48333333,17.0865,8.43
Neotoma floridana,10,0,0,0,0,0,0,0,20,70,1,0,0,244.75,Neotoma floridana,Neotoma,Eastern Woodrat,2.625,2.25,208.18,9.5,35.52942,7.7,21.4335,5.90625
Neotoma lepida,10,0,0,0,0,0,0,0,20,70,1,0,0,163.75,Neotoma lepida,Neotoma,Desert Woodrat,2.92,3,113.4,10.5,33,10.48333333,17.0865,8.76
Neotoma macrotis,10,0,0,0,0,0,0,0,20,70,1,0,0,225.74,Neotoma macrotis,Neotoma,Big-eared Woodrat,2.72,1.46,219.5,0.833333333,32.12736,0.833333333,21.819,3.9712
Neotoma mexicana,10,0,0,0,0,0,0,0,20,70,1,0,0,203,Neotoma mexicana,Neotoma,Mexican Woodrat,2.345,2,203,0.666666667,33.19262,0.666666667,19.0565,4.69
Neotoma micropus,10,0,0,0,0,0,0,0,20,70,1,0,0,237.5,Neotoma micropus,Neotoma,Southern Plains Woodrat,2.15,2,203.09,9.5,34.69704,7.683333333,21.268,4.3
Neurotrichus gibbsii,90,0,0,0,0,0,0,0,0,10,1,1,1,8.9,Neurotrichus gibbsii,Neurotrichus,Shrew-mole,2.81,1,10,NA,21.27,NA,8.138,2.81
Ochotona princeps,0,0,0,0,0,0,0,0,0,100,1,1,1,157.63,Ochotona princeps,Ochotona,American Pika,3,2.11,140.2,7.316666667,30.436,7,19,6.33
Ochrotomys nuttalli,0,0,0,0,0,0,0,0,100,0,1,0,0,22.37,Ochrotomys nuttalli,Ochrotomys,Golden Mouse,2.65,4.2,22,8.416666667,29.0071,8.4,9.7,11.13
Onychomys arenicola,90,0,0,0,0,0,0,0,0,10,1,0,0,30,Onychomys arenicola,Onychomys,Chihuahuan Grasshopper Mouse,3.665,2.55,24.96,5.6,30.5,4.6,11.523,9.345749999999999
Onychomys leucogaster,90,0,0,0,0,0,0,0,0,10,1,0,0,27.92,Onychomys leucogaster,Onychomys,Northern Grasshopper Mouse,3.84,2.5,32.5,5.6,31.63,5,12.7,9.6
Onychomys torridus,90,0,0,0,0,0,0,0,0,10,1,0,0,24.97,Onychomys torridus,Onychomys,Southern Grasshopper Mouse,3.665,2.55,22,5.6,30.5,4.8,10.346,9.345749999999999
Oryzomys palustris,20,0,0,0,0,0,20,0,20,40,1,1,1,53.88,Oryzomys palustris,Oryzomys,Marsh Oryzomys,3.925,5.5,50.465,2.375,24.5444,1.895833333,14.175,21.5875
Perognathus amplus,10,0,0,0,0,0,0,0,80,10,1,0,0,11.7,Perognathus amplus,Perognathus,Arizona Pocket Mouse,NA,NA,11.835,5.908333333,NA,5.904166667,NA,NA
Perognathus fasciatus,10,0,0,0,0,0,0,0,80,10,1,0,0,11.55,Perognathus fasciatus,Perognathus,Olive-backed Pocket Mouse,4.99,1,11.42,NA,30.118,NA,7.967,4.99
Perognathus flavescens,10,0,0,0,0,0,0,0,80,10,1,0,0,8.8,Perognathus flavescens,Perognathus,Plains Pocket Mouse,4.56,1.75,9.105,5,25.8706,3.083333333,6.929,7.9799999999999995
Perognathus flavus,10,0,0,0,0,0,0,0,80,10,1,0,0,7.73,Perognathus flavus,Perognathus,Silky Pocket Mouse,4.185,1.665,7.97,5,25.63094,5,5.96,6.968025
